state_id,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501
AK,64.23196777,63.84146341,71.49022596,69.87587528,67.18074375,67.78084299,65.21151589,65.78734702,65.23206751,64.27592508,66.76395475,70.52988346,58.02994604,60.24390244,63.19708895,62.91374924,61.4802537,55.47571692,48.10223269,43.28099745,43.33333333,48.46962083,48.63188616,51.14491197,38.20779813,33.59756098,29.55064738,26.87778488,22.78754686,13.08141398,1.09283198,-3.913645815,-5.780590717,-7.263590681,-8.573513323,-9.498222692,-20.04256289,-25.73170732,-30.63383261,-31.99395288,-33.81377918,-33.08526337,-29.46533489,-25.24821058,-25.8649789,-29.10004568,-36.10361183,-39.41473092,-48.92452687,-55.06097561,-54.68392993,-49.20432844,-42.23839722,-34.7918137,-25.4347826,-28.60193951,-32.70042194,-32.20648698,-30.17876688,-32.12366702,-38.70943224,-43.29268293,-44.13979859,-44.02450667,-45.76967425,-45.03111568,-37.36192713,-33.53151697,-28.94514768,-28.78026496,-24.30499818,-23.90675373,-29.5280079,-33.59756098,-34.78040111,-34.44462124,-29.62669356,-23.42978124,-22.14453583,-17.77303164,-15.2742616,-15.39515761,-16.23495075,-16.73142101,-23.26518203
AL,49.13842951,57.20650983,59.48122095,59.72471988,59.60996534,57.90379976,54.40574629,51.81654663,50.06873319,47.16124148,45.14821473,45.07813466,36.92610154,42.81333726,42.46793757,41.4718495,39.86348784,39.32097346,35.27473856,32.23308774,30.38372249,27.56119102,24.58347405,24.19365589,15.97746535,19.99404581,18.08850936,17.54737861,11.29150209,0.293689951,-9.847156084,-15.76044775,-20.94132643,-23.81402978,-25.33938305,-26.07441126,-34.31908672,-40.12801431,-43.88197426,-47.06736755,-50.69182391,-50.39892091,-44.8611227,-40.89809259,-41.7351723,-43.24375473,-45.73157929,-47.17220101,-54.09142725,-54.81294037,-54.11505614,-51.91589431,-44.22797525,-35.53265987,-27.48406135,-25.00890239,-24.39528428,-21.56825637,-18.03500189,-17.28199904,-23.14427795,-22.94929049,-23.79248835,-24.00746991,-23.52591295,-22.46106457,-20.36433826,-18.29786067,-13.30693251,-8.030532425,-3.784109497,-1.850282361,-7.687224306,-2.12364794,1.751851023,4.246783788,7.680756636,10.87418205,12.87619368,15.91566916,19.92625971,21.9341408,23.15838482,23.10710305,17.20001983
AR,48.77467392,54.39939772,56.55651782,59.06377226,60.93186532,62.21976067,60.5374078,59.10602417,57.91624859,57.62157744,56.58654413,56.98767335,49.8888502,56.03645742,55.28085539,52.54171829,51.11377054,48.39384058,42.34984194,39.27882189,36.65968246,33.19370658,31.51290209,29.0523883,20.50245065,22.77947749,21.48144565,19.33443831,9.652146161,-1.547654339,-10.86406744,-19.75594549,-25.01327982,-28.28974254,-31.8310357,-32.68567026,-40.77724509,-46.16764644,-48.77030013,-51.05643436,-52.7748524,-50.13495172,-45.6691254,-42.22261809,-41.41533377,-42.8279526,-46.19270649,-47.77503852,-54.05094143,-55.41815502,-55.4647056,-54.32309351,-47.60331897,-41.59477043,-31.19072708,-28.00688816,-27.27527593,-24.12137311,-18.58283256,-18.54545454,-24.90023301,-24.53827548,-24.57787024,-24.30362229,-23.45460348,-22.02443172,-20.84299262,-18.12446186,-13.49672431,-8.6636698,-7.231648399,-2.927580889,-8.61611806,-7.091255662,-4.505942876,-1.256778725,2.134992818,4.688206933,5.679662803,9.725067547,12.62468276,13.08745403,15.73877696,15.89368259,9.17856282
AZ,37.33257166,47.77041499,47.40389123,41.39465516,35.40229337,38.07476694,34.16548654,33.21964531,31.42585491,32.746623,34.94961445,42.23715768,41.93487684,57.69850361,55.87787154,47.73812323,39.95877996,37.07359973,26.56928989,19.96097594,17.04903838,10.89848547,8.026343322,7.375961407,-0.211700662,1.437397215,0.468823254,13.86468458,5.060994542,-15.91346235,-29.43637468,-35.08915256,-37.33071549,-40.07879656,-43.85094243,-48.22158927,-56.56305655,-61.20605186,-62.37107361,-61.298036,-60.53458744,-54.09590821,-47.70463282,-44.99428915,-44.00238081,-45.60478919,-48.01162799,-49.91113766,-57.0953325,-60.32252172,-60.35513361,-56.39007546,-37.97496558,-11.55205578,16.80922516,28.71125355,28.37409558,28.86307818,25.078085,17.55671282,6.374542155,6.471193902,-0.931786217,-12.34893127,-18.70737743,-18.65804141,-21.29637872,-19.24870712,-16.55277968,-10.13610315,-3.551875115,2.193230965,-2.770926442,8.151063697,19.90740741,27.03957981,36.79486262,25.07110092,20.89338457,17.44027414,21.036887,23.31150225,27.36040281,28.76966422,30.9990255
CA,18.58866865,26.69366727,30.07962176,33.9070274,32.42443171,34.55312922,35.4499433,39.85061277,44.52158064,45.78375842,51.24781201,57.99396682,59.01636549,62.69990731,61.42310668,57.16085499,53.09017336,47.65901268,42.50978352,39.03561863,34.10386694,29.72316252,24.39939051,20.91503268,17.85196596,18.79334966,18.01077254,17.16384446,11.86703962,-0.238525511,-13.68365748,-19.92810162,-20.86308099,-19.90984348,-21.50684414,-22.81087649,-29.52438338,-32.11544741,-33.85065538,-34.46862121,-37.88088183,-36.40821194,-32.6960753,-31.58813263,-32.55670792,-34.4186748,-40.70216973,-44.25171778,-48.38988398,-45.24955229,-40.78439812,-37.02462044,-21.78323457,-10.89639764,1.731816426,2.041009788,-2.126682359,-2.052820324,-1.192026299,-1.904223228,-8.762555494,-14.68718978,-21.712109,-28.48967564,-31.72237087,-31.58874659,-31.52401808,-29.19929803,-26.46161319,-23.07370044,-18.69312816,-15.54801408,-17.74850926,-16.13473482,-13.16633853,-8.248809549,-5.995157441,-3.080260186,-1.787792332,-0.211708884,3.382636906,3.948118108,6.44696578,5.605832076,8.968332016
CO,11.48512391,20.57881249,20.94099497,21.2270752,17.18500092,16.45335076,15.27569626,17.24697894,20.0856176,21.39725158,26.50602413,28.24284208,33.36773996,44.10152358,42.60112065,39.16181778,35.70753794,32.33776836,30.10923464,26.38177719,24.1153708,24.36111862,21.73812171,26.01742793,16.16442546,18.87607387,21.95730585,20.54945864,18.92005653,9.59676762,-4.182231645,-11.41703487,-18.19189789,-24.59542539,-30.15196962,-32.50694246,-34.6350508,-34.09155631,-37.94945669,-43.14649775,-46.85491941,-45.27303893,-42.09596241,-40.88495188,-40.98775946,-42.94292259,-48.35352412,-42.91678637,-54.90437824,-50.89467938,-49.09711668,-45.62863666,-32.45723156,-23.62337768,-10.5968758,-7.684261366,-7.773135448,-5.752192409,-2.530617632,-5.748348185,-6.536303772,-6.199867092,-10.15176608,-10.22317154,-13.2734092,-14.01273365,-12.40800803,-9.568569526,-6.524117553,-5.593978866,-0.9819194,-1.679593996,-1.421184926,7.629692927,11.69891789,18.05995433,20.77296497,24.52126358,23.89814714,25.92606136,29.27592211,33.1261489,33.77388512,28.59140093,36.47962841
CT,89.3770931,81.50659891,87.10129501,92.48002454,94.79557449,96.25310735,96.60877608,97.49933178,99.11965558,98.45980126,103.8103648,112.8609773,91.49363697,83.36197127,84.23274791,83.9531833,85.91594074,85.81242938,82.34508273,82.54135607,80.38301662,79.76362541,77.95057972,77.6950753,57.24045546,48.22505758,46.49458932,34.33054501,20.37578686,7.834274955,0.113040797,-4.649401559,-6.015439431,-5.58115026,-7.092511738,-6.175401186,-23.00066979,-37.58271487,-39.99645201,-38.5828918,-37.38634196,-32.68399247,-26.24601788,-23.37025927,-25.8432304,-28.55615779,-34.9899426,-37.77007862,-49.67180174,-57.32643586,-57.6051091,-54.43208341,-47.5678769,-43.67306968,-39.14294523,-40.66704285,-42.6054038,-41.7931346,-40.90827324,-42.63387333,-51.68117883,-57.47998391,-59.44296612,-58.67761555,-58.50607236,-58.53258004,-59.71637036,-59.01369131,-56.54097387,-54.6823246,-51.54295246,-52.97443414,-57.57535164,-60.70449311,-60.78410502,-59.07116207,-57.62701087,-55.01016949,-53.96156613,-52.34029283,-48.4976247,-47.61065944,-47.22726455,-51.00226533,-56.18218352
DC,-24.71958216,-22.48798719,-19.60725972,-15.10909089,-16.16981291,-15.76926156,-14.14665801,-17.64019663,-16.66050433,-12.49402936,-9.435557735,-13.11829743,-12.45825841,-6.8659904,-7.874640457,-9.190909066,-10.07089773,-9.384750802,-11.08046722,-7.724356281,-13.76173927,-17.50938248,-18.46240574,-22.31274418,-18.48617176,-15.23758677,-18.4964792,-19.75454543,-20.71410265,-21.87374992,-18.68916287,-13.55720354,-9.051246032,-6.14124874,-4.354872793,-0.083132405,1.104546622,8.008542434,4.066250155,0.609090937,-1.400871248,3.328266237,2.717391313,-0.316640255,4.510833387,4.319344912,1.367063646,-2.992767454,-6.087849987,1.505605969,2.60835072,-1.363636337,6.850602231,9.096727712,6.975989626,6.391134099,2.906159868,4.844762858,4.228031866,4.572283674,5.96797671,11.37213026,8.856491156,8.754545484,3.741351355,-0.872069789,0.843608055,0.441629889,0.473267759,-1.555783029,-2.431118301,-1.130601023,8.639438308,23.70528562,30.44728755,36.05454549,37.76373114,35.47483795,33.37929917,32.4056329,31.58322856,28.5363357,29.08885915,35.06525899,46.03990068
DE,76.9304447,75.79611252,74.47996723,79.14441198,78.12622692,78.02013423,78.70691318,80.22949217,80.51948052,80.19096552,82.10306407,85.13202294,65.65564424,64.97622004,66.44635723,67.01098459,64.96859049,62.55033557,57.34161373,55.41503905,52.63157895,49.11302833,45.64763231,44.79138773,31.83124287,29.91108356,29.61368994,23.38002621,17.66293678,6.308724832,-5.204120918,-12.46582032,-19.65140123,-25.2568825,-28.30779944,-29.29141449,-42.05701254,-48.03556658,-51.18864637,-51.64264839,-53.41578328,-46.84563758,-41.66666666,-40.73242188,-39.33697881,-39.20124078,-43.41922006,-45.22521557,-53.91562144,-53.82547559,-52.12111896,-52.48916658,-43.69356105,-40.80536913,-33.07336799,-30.92285157,-31.27136022,-26.7157813,-23.88579387,-25.87970649,-34.97833523,-38.77171215,-39.46101034,-40.35573919,-40.18943856,-38.72483221,-36.37589061,-35.43457032,-31.20300752,-29.19251647,-25.69637883,-23.36778961,-30.08893957,-30.05066169,-27.76923864,-25.04786858,-23.45897134,-20.5033557,-19.72848064,-16.0888672,-11.68831169,-8.937572689,-6.441504178,-6.159284442,-13.37742303
FL,19.19567713,30.11133655,33.02700261,32.95337525,32.45895519,31.23162228,29.39699803,28.79994607,29.16709316,30.94106718,32.18005413,34.6825619,34.49550634,47.76347569,47.01663991,44.18518709,40.2921616,36.24111905,30.23460025,28.41459439,26.16893988,23.51963696,20.33838542,19.61861778,15.72752471,23.01563551,24.06779009,25.93349284,21.91365455,12.28091479,2.859096406,-3.126440755,-8.847732438,-12.1698848,-16.7549451,-20.73876496,-30.53481535,-36.9336605,-45.88904804,-50.83563106,-53.84664647,-53.27628289,-50.12117388,-48.71643483,-49.22534742,-51.09836092,-55.41022469,-58.63829344,-64.19766498,-66.12000306,-65.72716699,-63.08772395,-53.7004682,-43.10880191,-28.93408366,-22.86030037,-21.817755,-20.83432242,-18.36607508,-18.28273674,-21.41154072,-17.761082,-19.26999721,-20.20491437,-21.14949028,-20.211455,-19.81985214,-18.22548302,-13.3210765,-6.235557109,-0.383168694,3.618826479,5.866002184,19.92429762,26.77477962,31.05621448,34.03183341,36.84288388,36.3844147,35.71411862,37.87587811,35.87742139,38.39597391,39.73978879,40.85931069
GA,32.83387778,39.93289077,41.73301839,40.62571215,39.52733698,39.54394188,39.1899155,38.8704898,38.97666396,44.67280733,46.26617561,50.13834086,46.50767154,53.96481849,58.93859722,63.61298304,62.2683124,57.79857654,53.34581855,51.04293766,48.22771437,38.86958327,31.10381549,30.73674763,25.73500635,29.68348269,27.79410846,29.7457434,21.83569332,7.022873255,-6.899071174,-15.0659462,-21.56253353,-24.3784297,-28.11658931,-30.80580813,-36.95678219,-42.9131018,-46.85432773,-49.80304066,-50.63613807,-47.43022187,-43.33229757,-41.90343385,-41.63921976,-43.96965784,-44.40176317,-45.41319716,-52.26951431,-53.5997366,-53.66718465,-53.03577823,-43.89420448,-35.487161,-23.95317198,-19.39166812,-18.43936504,-15.07045755,-12.18138337,-12.8267726,-19.18404511,-19.44521109,-23.49596116,-30.02571866,-31.48284575,-29.3940766,-28.27989318,-26.31747138,-21.87167231,-17.60562521,-12.9133996,-10.84381338,-12.96055206,-7.623142522,-4.448250471,-1.119901032,2.381845537,7.94606786,9.928699791,12.76509209,16.30841239,17.48177961,20.24314439,19.01450268,16.294338
HI,16.32015219,22.02350373,22.31115721,25.92617473,25.20729685,26.58830582,27.64531763,28.35835446,28.72170135,28.38901071,30.01640069,31.06110743,33.34420438,40.76868739,41.07067632,43.98280322,42.54915897,38.66209378,36.77585141,35.1368038,34.23279213,32.09080357,30.3475683,27.35495257,20.9512162,24.90046237,27.1881785,30.44033185,31.15375503,28.17328184,19.58494616,18.39539872,15.5728333,12.76925062,7.099602609,6.971100816,-1.508357114,-16.07372206,-23.44210764,-25.91609847,-33.85453684,-37.74307405,-40.75399278,-44.0664197,-41.55042305,-40.86160196,-43.61319624,-45.29009486,-48.4495176,-46.05702543,-47.3735377,-46.13576058,-41.48306089,-37.69645711,-30.71268256,-28.53057776,-28.92750972,-25.55784857,-23.32366113,-22.58989632,-21.98940073,-11.78076034,-11.21552869,-26.12769959,-27.24472874,-27.1843367,-26.68249683,-27.37050757,-26.64075006,-23.54894879,-20.27691919,-17.67041694,-18.3802147,-13.78114564,-8.538837931,-2.16975111,3.672115612,9.200186475,14.14305695,18.07694808,18.59135605,16.71933446,19.75020502,20.1632473,19.71191738
IA,29.75617031,32.60082407,30.15293555,30.11958534,30.8673126,32.32432783,34.32135572,37.57641855,39.12702955,36.88141923,36.7031474,38.14993067,35.29192454,37.81995255,38.16654558,40.00484571,43.19573408,43.48543957,42.06496156,41.85585697,41.44651625,40.07677145,36.10083779,36.63104658,35.82879726,39.83019104,41.96246611,39.26587404,30.00773785,19.10095991,8.718029189,1.975361743,-4.321173601,-8.507106546,-12.59113896,-15.25083612,-22.47557975,-24.68472968,-28.88231228,-31.20294897,-32.72944422,-32.20616087,-31.59265652,-28.95917176,-29.15022442,-29.85786907,-31.56917504,-32.30116649,-39.11863396,-42.11512049,-42.62701802,-41.50009519,-36.27371821,-32.3421338,-24.96940216,-26.37860588,-26.16652107,-24.2141301,-20.86497094,-20.70968268,-25.85191261,-26.38281933,-27.09599674,-27.91997647,-27.5484457,-25.97406802,-25.43072336,-23.48622162,-20.57866675,-18.94387385,-16.22613028,-14.81686923,-18.56237417,-17.06829816,-11.67662017,-8.767284499,-7.519176428,-4.388364599,-3.111564409,-2.58363798,-0.356959968,4.564788879,8.44742999,8.297577295,5.131608381
ID,39.70824897,45.7323707,42.79712653,36.0250813,31.00416234,28.03908203,23.08793031,21.94791265,23.29974554,24.89767501,29.65460526,32.38522016,27.14530447,35.7399532,33.9298313,26.42620644,19.367846,15.28289025,12.83907092,10.20499018,9.64885496,11.67981772,12.08881579,13.97751361,9.993251311,11.60122639,9.460586225,16.88886283,5.965140487,-14.11042945,-31.05972626,-44.10425562,-52.00814249,-56.4918351,-61.41447368,-62.80891942,-66.56803198,-65.13038605,-62.06144571,-60.29183393,-57.36992716,-51.47239264,-43.32642058,-34.34445637,-30.02137405,-30.97177096,-36.57894737,-41.45222315,-52.40616726,-53.26871724,-49.08601117,-40.21213631,-18.8189386,1.938195867,19.95230194,25.17757046,25.22340967,27.05388413,29.49013158,28.98542946,19.04687743,17.90129563,11.88506188,4.274956772,1.831425606,0.109066124,-0.58896724,1.422587363,3.364885494,5.905312463,5.690789474,7.835350307,1.354929139,7.424257417,13.07485086,16.88886283,18.02029137,20.21358782,19.09581086,19.69565129,20.49262086,17.92691675,21.06907895,21.077629,21.72558791
IL,52.43685601,50.92850347,56.60771113,61.63077767,63.57545871,64.65885239,63.75908879,64.51027289,64.43651926,62.78777238,63.53691212,67.10550445,58.32834423,55.46354699,60.36562997,66.23234124,68.23238796,67.00181688,64.61177179,63.45272743,61.62910128,61.30975477,59.30826922,59.74274453,51.7778448,48.49008069,47.55817065,39.33959676,30.87870649,21.00377486,11.2326439,7.065671556,5.235378031,4.879214242,3.028710635,2.120994309,-7.8536671,-20.42707636,-24.90408162,-26.02866548,-26.87114613,-23.30881444,-19.28227282,-17.46534882,-17.99429387,-19.60956483,-24.18234802,-27.18431685,-37.18506781,-44.58578526,-45.23778838,-45.00411466,-39.13242821,-34.63468628,-28.4361618,-28.61135925,-29.4807418,-28.85789548,-27.2223501,-27.7255942,-34.13849139,-42.0945065,-45.85890331,-48.75531477,-49.55975785,-49.27589917,-48.61046578,-47.9382186,-45.9828816,-43.88679013,-40.4949992,-39.41163351,-44.46300039,-47.77476303,-48.5307385,-47.41462077,-47.12322102,-45.44504418,-43.27460411,-41.01374521,-37.84308131,-36.62249085,-33.97419473,-34.64769884,-38.90281835
IN,47.69496438,54.87643398,56.23733091,58.94104118,60.39553552,62.03964974,59.88190927,58.51215866,56.27125721,53.69842595,51.47945993,53.39137317,47.09467863,55.08751231,54.18561339,46.34690694,44.76992362,42.83533053,40.71757582,41.33842921,40.28482006,37.61165771,32.9933927,31.67392165,24.26737385,25.49983614,23.56324993,25.03080759,10.28392401,-6.688897812,-18.45872474,-25.59818974,-28.26186749,-29.18156276,-30.76702097,-32.31499802,-39.09155386,-47.3497214,-48.16057632,-49.41260234,-49.55029046,-44.51610537,-39.34587249,-36.88313376,-36.52895147,-38.67712666,-42.01378914,-43.33201425,-48.84414156,-52.58079318,-50.89300387,-49.01005011,-36.5929117,-29.82642576,-19.83381506,-19.81550855,-19.7318727,-17.10591245,-13.80350474,-13.68421053,-22.43979154,-23.57128809,-25.59168353,-26.03581892,-25.033614,-22.82360411,-23.41379157,-21.49801867,-17.46061553,-12.17837039,-8.108302212,-5.081123862,-12.05402572,-11.96197967,-9.340930221,-5.860284238,-4.272567077,-1.019946951,0.452718535,3.944262781,5.427230069,5.832888538,10.21976444,9.34705184,3.372495811
